#,Directive number,Title,Date,Page on gov.il,File name in zip,File title,File URL,Note
79,DR_498131619,מכירת מזרקי אפינפרין למוסדות חינוך,2019-07-13T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-498131619,files_circulars_dr_DR_498131619.pdf,מכירת מזרקי אפינפרין למוסדות חינוך,https://www.gov.il/BlobFolder/policy/dr-498131619/he/files_circulars_dr_DR_498131619.pdf,
80,EX-003,נוהל הפעלת בנק דם טבורי ציבורי ופרטי,2019-07-13T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-003,files_circulars_iscp-ex_EX-003.pdf,נוהל הפעלת בנק דם טבורי ציבורי ופרטי,https://www.gov.il/BlobFolder/policy/ex-003/he/files_circulars_iscp-ex_EX-003.pdf,
81,112,שירות למטופל בבית מרקחת- הבהרות לנוהל 112,2019-07-13T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-112-14072019,files_circulars_dr_DR_112_14072019.pdf,שירות למטופל בבית מרקחת- הבהרות לנוהל 112,https://www.gov.il/BlobFolder/policy/dr-112-14072019/he/files_circulars_dr_DR_112_14072019.pdf,
82,dr_471089219,"שיפור שירות רוקחי למטופל, אמות מידה לשירותי בית מרקחת וטלה רוקחות נייר עמדה להערות",2019-05-28T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-471089219,files_circulars_dr_dr_471089219.pdf,"שיפור שירות רוקחי למטופל, אמות מידה לשירותי בית מרקחת וטלה רוקחות נייר עמדה להערות",https://www.gov.il/BlobFolder/policy/dr-471089219/he/files_circulars_dr_dr_471089219.pdf,
83,DR_468360919,איסור הכנות הומאופתיות של תכשירי חיסונים,2019-05-26T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-468360919,files_circulars_dr_DR_468360919.pdf,איסור הכנות הומאופתיות של תכשירי חיסונים,https://www.gov.il/BlobFolder/policy/dr-468360919/he/files_circulars_dr_DR_468360919.pdf,
84,EX-014,הצהרת QP בנושא תנאי ייצור נאותים לחומרי גלם פעילים של תכשירים רפואיים,2019-04-28T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-014,files_circulars_iscp-ex_EX-014.pdf,הצהרת QP בנושא תנאי ייצור נאותים לחומרי גלם פעילים של תכשירים רפואיים,https://www.gov.il/BlobFolder/policy/ex-014/he/files_circulars_iscp-ex_EX-014.pdf,
84,EX-014,הצהרת QP בנושא תנאי ייצור נאותים לחומרי גלם פעילים של תכשירים רפואיים,2019-04-28T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-014,files_circulars_iscp-ex_Form-01-EX-014.docx,Qualified Person’s  Declaration Concerning GMP Compliance of the Active Substance Manufacture  - Declaration Template,https://www.gov.il/BlobFolder/policy/ex-014/he/files_circulars_iscp-ex_Form-01-EX-014.docx,
85,EX-017-01,הליך אישור רוקח אחראי (QP) בחברה העוסקת בפעילות של ייצור/יבוא תכשירים רפואיים,2019-02-28T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-017-01,files_circulars_iscp-ex_EX-017-01.pdf,הליך אישור רוקח אחראי (QP) בחברה העוסקת בפעילות של ייצור/יבוא תכשירים רפואיים,https://www.gov.il/BlobFolder/policy/ex-017-01/he/files_circulars_iscp-ex_EX-017-01.pdf,
86,411549919,שינוי בתהליך הערכה מקדמית במחלקה לרישום תכשירים ודגשים להגשת תיקים - עדכון,2019-01-30T22:00:00Z,https://www.gov.il/he/pages/reg-411549919,files_regulation_drugs_reg_411549919.pdf,שינוי בתהליך הערכה מקדמית במחלקה לרישום תכשירים ודגשים להגשת תיקים - עדכון,https://www.gov.il/BlobFolder/policy/reg-411549919/he/files_regulation_drugs_reg_411549919.pdf,
87,DR_16012019,עיסוק בתמרוקים (ייבוא/שיווק/אחסון) מחייב בשני רישיונות: רישיון תמרוקים כללי ורישיון תמרוקים פלוני.,2019-01-15T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-16012018,files_circulars_dr_DR_16012018.pdf,לא בתוקף - עיסוק בתמרוקים (ייבוא/שיווק/אחסון) מחייב בשני רישיונות: רישיון תמרוקים כללי ורישיון תמרוקים פלוני.,https://www.gov.il/BlobFolder/policy/dr-16012018/he/files_circulars_dr_DR_16012018.pdf,
88,164,נוהל דיווח ומעקב על מידע בטיחותי במהלך ניסויים רפואיים בבני אדם,2018-12-31T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-164,files_circulars_dr_DR_164.pdf,נוהל דיווח ומעקב על מידע בטיחותי במהלך ניסויים רפואיים בבני אדם,https://www.gov.il/BlobFolder/policy/dr-164/he/files_circulars_dr_DR_164.pdf,
89,dr_428073518,קול קורא לרישום תוספת התוויה לתכשיר ABIRATERON,2018-10-17T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-428073518,files_circulars_dr_DR_428073518.pdf,קול קורא לרישום תוספת התוויה לתכשיר ABIRATERON,https://www.gov.il/BlobFolder/policy/dr-428073518/he/files_circulars_dr_DR_428073518.pdf,
90,423138618,הבהרה באשר לזמני רישום של תכשירים מסוג תרפיות מתקדמות בישראל,2018-10-15T21:00:00Z,https://www.gov.il/he/Departments/policies/423138618,files_circulars_הבהרה באשר לזמני רישום של תכשירים מסוג תרפיות מתקדמות.pdf,הבהרה באשר לזמני רישום של תכשירים מסוג תרפיות מתקדמות בישראל,https://www.gov.il/BlobFolder/policy/423138618/he/files_circulars_הבהרה באשר לזמני רישום של תכשירים מסוג תרפיות מתקדמות.pdf,
91,132,"תנאי הכנה נאותים בבתי מרקחת, הכנות פשוטות ובינוניות לא סטריליות",2017-12-31T22:00:00Z,https://www.gov.il/he/departments/policies/dr-132,files_circulars_dr_DR_132.pdf,"תנאי הכנה נאותים בבתי מרקחת, הכנות פשוטות ובינוניות לא סטריליות",https://www.gov.il/BlobFolder/policy/dr-132/he/files_circulars_dr_DR_132.pdf,
